#    distance           U_x           U_y           U_z
  2.31296e-19      0.662451  -1.49591e-18     -0.533392
        0.002      0.915776   1.37589e-18     -0.717364
        0.004        1.1691   5.43223e-19     -0.901336
        0.006       1.19021   2.16389e-18         -0.88
        0.008       1.19021   2.99656e-18         -0.84
         0.01       1.19021   2.17471e-18          -0.8
        0.012       1.19021  -6.67569e-17         -0.76
        0.014       1.19021  -1.05438e-16         -0.72
        0.016       1.19021    1.8981e-18         -0.68


        0.018       1.19021   1.97735e-16         -0.64
         0.02       1.19021    1.8677e-16          -0.6
        0.022       1.19021   1.87117e-16         -0.56
        0.024       1.19021   1.29086e-16         -0.52
        0.026       1.19021   1.87117e-16         -0.48
        0.028       1.19021   1.87117e-16         -0.44
         0.03       1.19021   1.28838e-16          -0.4
        0.032       1.19021   1.28005e-16         -0.36
        0.034       1.19021   1.61397e-16         -0.32
        0.036       1.19021   1.61397e-16         -0.28
        0.038       1.19021   1.69474e-16         -0.24
         0.04       1.19021   1.70307e-16          -0.2
        0.042       1.19021   1.71592e-16         -0.16
        0.044       1.19021   1.85174e-16         -0.12
        0.046       1.19021   1.83787e-16         -0.08
        0.048       1.19021   1.85452e-16         -0.04
         0.05       1.19021   1.87117e-16   4.62593e-17
        0.052       1.19021   1.87117e-16          0.04
        0.054       1.19021   1.87117e-16          0.08
        0.056       1.19021   1.96726e-16          0.12
        0.058       1.19021   2.10364e-16          0.16
         0.06       1.19021   1.88505e-16           0.2
        0.062       1.19021     2.175e-16          0.24
        0.064       1.19021   2.28589e-16          0.28
        0.066       1.19021   2.03863e-16          0.32
        0.068       1.19021   1.85938e-16          0.36
         0.07       1.19021   2.42632e-16           0.4
        0.072       1.19021   2.16904e-16          0.44
        0.074       1.19021   2.55895e-16          0.48
        0.076       1.19021   2.21994e-16          0.52
        0.078       1.19021   1.87117e-16          0.56
         0.08       1.19021   2.29801e-16           0.6
        0.082       1.19021   2.28968e-16          0.64
        0.084       1.19021   2.23366e-16          0.68
        0.086       1.19021   1.85383e-16          0.72
        0.088       1.19021   2.42736e-16          0.76
         0.09       1.19021   1.86423e-16           0.8
        0.092       1.19021   1.44672e-16          0.84
        0.094       1.19021   1.87117e-16          0.88
        0.096        1.1691   2.18859e-16      0.901336
        0.098      0.915776   1.87117e-16      0.717364
          0.1      0.662451   2.18859e-16      0.533392
